Actual,Predicted,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
"Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .",Experts say the shrinking space on planes is not only uncomfortable - it's putting our health and safety in danger. They say the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger.,0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued .","Rahul Kumar, 17, climbed into the lions' enclosure at a zoo in Ahmedabad and shouted: 'Today I kill a lion or a lion kills me!'",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",Dougie Freedman is set to sign a new two-year deal at Nottingham Forest. Forest's owners are pleased with the job he has done at the City Ground. Freedman has impressed at the City Ground since he replaced Stuart Pearce.,0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .",Neto is wanted by a number of top European clubs including Liverpool and PSG. The Brazilian is wanted by a number of top European clubs including Liverpool and Paris Saint-Germain. The 25-year-old is wanted by a number of top European clubs including Liverpool and PSG.,0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","The former Olympian and reality TV star will speak out in a 'far-ranging' interview with Sawyer. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February. The Kardashian women are known for enjoying center stage, but they will not be stealing Bruce's spotlight.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex .","The prize porker, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. Two fire crews and a specialist animal rescue team had to use slide boards and strops to haul the huge black pig out of the small pool.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.","The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014. This was 14 per cent down on a decade earlier, when listeners clocked up an average of 11.6 hours a week. Sources blamed the downward trend on people leading faster-paced lives.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""","Candace Cameron Bure, who played eldest daughter D.J. Tanner in the original series -- which aired from 1987 to 1995 -- will reprise her role as the recently widowed mother of three boys, Netflix said.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 .","Reanne Evans beat Ken Doherty 10-8 at Sheffield's Crucible Theatre. Doherty, who won the World Championship title back in 1997, took out the first frame 71-15. Evans had Doherty in all sorts of trouble before the former champion closed out the game 10-8. Doherty admitted she was exhausted after a match of unfamiliar intensity.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
"Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .","Ahmed Hassan-Sule, 21, was sentenced to nine years' imprisonment. Mohamed Saleh, 22, was sentenced to four years' detention in a Young Offenders' Institute. Ahmed Hassan-Sule, 21, was sentenced to nine years' imprisonment. Mohamed Saleh, 22, was sentenced to four years' detention in a Young Offenders' Institute.",0.38435374702831687,0.17630441663777796,0.27538776593527947,0.33334323339611777
